brand_id,brand_name,brand_index,image_paths,brand_logo
33,奥迪,A,,http://car2.autoimg.cn/cardfs/brand/50/g16/M05/5B/78/autohomecar__wKgH11cVh1WADo76AAAK8dMrElU714.jpg
221,安凯客车,A,,http://car0.autoimg.cn/logo/brand/50/130549643705032710.jpg
35,阿斯顿·马丁,A,,http://car1.autoimg.cn/logo/brand/50/130131578038733348.jpg
117,AC Schnitzer,A,,http://car1.autoimg.cn/logo/brand/50/129302871545000000.jpg
34,阿尔法·罗密欧,A,,http://car3.autoimg.cn/cardfs/brand/50/g17/M08/2F/C5/autohomecar__wKgH51jJ_6CAIpwtAAATva_zpjI750.jpg
276,ALPINA,A,,http://car3.autoimg.cn/cardfs/brand/50/g7/M11/5D/D6/autohomecar__wKjB0FfsB2WAcBb3AAAUU2Z1xOw225.jpg
273,艾康尼克,A,,http://car2.autoimg.cn/cardfs/brand/50/g15/M01/D5/8A/autohomecar__wKgH5VlCVN2AKx6pAAAGoBdetZI311.jpg
272,ARCFOX,A,,http://car3.autoimg.cn/cardfs/brand/50/g9/M14/EE/42/autohomecar__wKgH31eh4xKAdTTgAAANxSVs4VI788.jpg
251,Arash,A,,http://car2.autoimg.cn/cardfs/brand/50/g19/M0B/6F/E7/autohomecar__wKgFWFbJMdaAa7l4AAAL5XVP0nY632.jpg
36,奔驰,B,,http://car2.autoimg.cn/cardfs/brand/50/g17/M05/73/21/autohomecar__wKjBxlgEi2OACNA1AAAN8O5z018868.jpg
14,本田,B,,http://car0.autoimg.cn/logo/brand/50/129302239927557500.jpg
38,别克,B,,http://car1.autoimg.cn/logo/brand/50/130713021829044765.jpg
15,宝马,B,,http://car1.autoimg.cn/logo/brand/50/129302240087557500.jpg
120,宝骏,B,,http://car2.autoimg.cn/cardfs/brand/50/g11/M06/6C/9B/autohomecar__wKjBzFXs-WWAHHJjAAAMWwBIocM289.jpg
13,标致,B,,http://car0.autoimg.cn/logo/brand/50/129302239751932500.jpg
75,比亚迪,B,,http://car0.autoimg.cn/logo/brand/50/129302877535937500.jpg
40,保时捷,B,,http://car1.autoimg.cn/logo/brand/50/130713021464992840.jpg
95,奔腾,B,,http://car0.autoimg.cn/logo/brand/50/129302879456406250.jpg
27,北京,B,,http://car0.autoimg.cn/logo/brand/50/130132519933675283.jpg
173,北汽绅宝,B,,http://car0.autoimg.cn/logo/brand/50/130728514973823368.jpg
203,北汽幻速,B,,http://car0.autoimg.cn/logo/brand/50/130407024340800773.jpg
231,宝沃,B,,http://car3.autoimg.cn/cardfs/brand/50/g8/M07/59/AF/autohomecar__wKgHz1cQmS6AVk2fAAAPR-y4RTY926.jpg
39,宾利,B,,http://car0.autoimg.cn/logo/brand/50/130464274445786511.jpg
140,巴博斯,B,,http://car1.autoimg.cn/logo/brand/50/129609000250860000.jpg
154,北汽制造,B,,http://car0.autoimg.cn/logo/brand/50/129672874565669471.jpg
208,北汽新能源,B,,http://car3.autoimg.cn/cardfs/brand/50/g15/M01/81/9E/autohomecar__wKgH1lgPHeKAM-CwAAAQJK-P3TM593.jpg
143,北汽威旺,B,,http://car0.autoimg.cn/logo/brand/50/130058250267573556.jpg
271,比速汽车,B,,http://car2.autoimg.cn/cardfs/brand/50/g19/M06/78/7A/autohomecar__wKgFWFgkFtSASB9gAAAQGh0uHwI409.jpg
37,布加迪,B,,http://car1.autoimg.cn/logo/brand/50/129302240538807500.jpg
76,长安,C,,http://car1.autoimg.cn/logo/brand/50/130626666565626923.jpg
77,长城,C,,http://car2.autoimg.cn/cardfs/brand/50/g17/M08/20/28/autohomecar__wKgH51aA6EKAZFHkAAAKJtLdnDg318.jpg
163,长安欧尚,C,,http://car3.autoimg.cn/cardfs/brand/50/g22/M11/1E/F1/autohomecar__wKjBwVlIigyAVIuOAAAQxxG4Hq8816.jpg
79,昌河,C,,http://car3.autoimg.cn/cardfs/brand/50/g16/M0A/B8/A0/autohomecar__wKjBx1dzlk6AbnwfAAAKReqo2Kk929.jpg
196,成功汽车,C,,http://car1.autoimg.cn/logo/brand/50/130320044308933666.jpg
294,长安轻型车,C,,http://car3.autoimg.cn/cardfs/brand/50/g5/M01/C2/E5/autohomecar__wKjB0lk1BiuAbcyxAAANFp7uMx0785.jpg
264,长江EV,C,,http://car2.autoimg.cn/cardfs/brand/50/g9/M13/58/E6/autohomecar__wKgH0FcTK4KAa_5VAAAHE1w2R78120.jpg
189,Caterham,C,,http://car0.autoimg.cn/logo/brand/50/130242926581895295.jpg
1,大众,D,,http://car3.autoimg.cn/cardfs/brand/50/g23/M09/5B/8F/autohomecar__wKgFXFbCuGGAark9AAAOm8MlQDA537.jpg
165,东风风行,D,,http://car1.autoimg.cn/logo/brand/50/130282004692055013.jpg
32,东风,D,,http://car0.autoimg.cn/logo/brand/50/130150671280491404.jpg
113,东风风神,D,,http://car1.autoimg.cn/logo/brand/50/129932123955622362.jpg
259,东风风光,D,,http://car2.autoimg.cn/cardfs/brand/50/g19/M07/B5/41/autohomecar__wKgFU1bdGl-ABe-FAAAOptrisds277.jpg
81,东南,D,,http://car1.autoimg.cn/logo/brand/50/130102078549287279.jpg
41,道奇,D,,http://car1.autoimg.cn/logo/brand/50/129302961253750000.jpg
187,东风风度,D,,http://car1.autoimg.cn/logo/brand/50/130108922715000383.jpg
169,DS,D,,http://car0.autoimg.cn/logo/brand/50/130759724016906472.png
142,东风小康,D,,http://car2.autoimg.cn/cardfs/brand/50/g12/M0F/E0/79/autohomecar__wKgH4llIkCeAbMyOAAAMf2zpA6w696.jpg
157,Dacia,D,,http://car1.autoimg.cn/logo/brand/50/129702914033140193.jpg
92,大发,D,,http://car1.autoimg.cn/logo/brand/50/129302956932187500.jpg
198,DMC,D,,http://car0.autoimg.cn/logo/brand/50/130341810910473724.jpg
3,丰田,F,,http://car1.autoimg.cn/logo/brand/50/129302966016093750.jpg
8,福特,F,,http://car1.autoimg.cn/logo/brand/50/130003561762214051.jpg
42,法拉利,F,,http://car2.autoimg.cn/cardfs/brand/50/g5/M05/DA/05/autohomecar__wKjB0llIjd-AbwMNAAAPzn4RkkA227.jpg
96,福田,F,,http://car0.autoimg.cn/logo/brand/50/129435969585897015.jpg
11,菲亚特,F,,http://car0.autoimg.cn/logo/brand/50/129302245774276250.jpg
141,福迪,F,,http://car1.autoimg.cn/logo/brand/50/129610706410813906.jpg
197,福汽启腾,F,,http://car0.autoimg.cn/logo/brand/50/130371852790179714.jpg
282,福田乘用车,F,,http://car3.autoimg.cn/cardfs/brand/50/g21/M11/76/D8/autohomecar__wKjBwlgkCcuARQ59AAAMf4Jfh34817.jpg
132,Fisker,F,,http://car1.autoimg.cn/logo/brand/50/129563801950892500.jpg
248,Faraday Future,F,,http://car2.autoimg.cn/cardfs/brand/50/g18/M15/2F/51/autohomecar__wKjBxVaLJp-AJ8L5AAAGY5is85M747.jpg
